주택명,주소,우편번호,수집일시
오늘공동체주택,서울 도봉구 도봉로191길 80 (도봉동 351-2,01301,2025-08-28 09:05:40
어반그로잉 동숭,,,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,,,2025-08-28 09:05:40
비투코하우징홍은,서울 서대문구 증가로4길 57 2,03664,2025-08-28 09:05:40
써드플레이스 신림1,,,2025-08-28 09:05:40
써드플레이스 홍은6,,,2025-08-28 09:05:40
써드플레이스 홍은4,,,2025-08-28 09:05:40
북클럭 플레이스(방배),,,2025-08-28 09:05:40
북클럭 플레이스(대치),서울 강남구 대치동 927-24 2,06204,2025-08-28 09:05:40
안녕공동체주택,서울 도봉구 도봉로173길 122-11,01313,2025-08-28 09:05:40
더클래식하우스,,,2025-08-28 09:05:40
INYOURS cheongdam (인유어즈 청담),,,2025-08-28 09:05:40
봉산아래공동체주택,- 위치:서울시 은평구 신사동266-23 (은평구 갈현로3다길1-7),,2025-08-28 09:05:40
사는자리 공동체주택,서울 금천구 시흥대로130길 13,08576,2025-08-28 09:05:40
써드플레이스 홍은5,,,2025-08-28 09:05:40
써드플레이스 홍은7,,,2025-08-28 09:05:40
온음공동체주택,서울 마포구 성미산로5안길 15,03969,2025-08-28 09:05:40
하담재,,,2025-08-28 09:05:40
공동체주택 숨과쉼,,03601,2025-08-28 09:05:40
광영청년공동체주택,,06312,2025-08-28 09:05:40
새맘뜰,,,2025-08-28 09:05:40
셀렉티드 송파점,,,2025-08-28 09:05:40
명륜3가 청년창업공동체주택,,03071,2025-08-28 09:05:40
맑은구름집,,,2025-08-28 09:05:40
어반스테이 상수[인증 통과],,,2025-08-28 09:05:40
면목동 공동체주택마을 [도서당],서울시가 처음 시도하는 마을형 공동체주택입니다.,,2025-08-28 09:05:40
코이노니아 스테이,,,2025-08-28 09:05:40
산에 협동조합 [예비인증통과],,,2025-08-28 09:05:40
묘나공주 연남,,,2025-08-28 09:05:40
써드플레이스 홍은2,,,2025-08-28 09:05:40
삶을 잇는 공간 309,,,2025-08-28 09:05:40
신내 여성안심주택 [달리],※ 본 공동체주택은 서울형 공동체주택 인증을 통과 한 주택입니다.,,2025-08-28 09:05:40
신내소행주 - 공동육아형 공동체주택 [너나들이],※ 본 공동체주택은 서울형 공동체주택 인증을 통과 한 주택입니다.,,2025-08-28 09:05:40
