주택명,주소,입주대상,주거형태,주택유형,전용면적,공용면적,총인원,총호수,총실수,수집일시
오늘공동체주택,서울 도봉구 도봉로191길 80 (도봉동 351-2),제한없음,다세대주택,기타,전용 655.42m²,공용 237.24m²,,,,2025-08-28 09:05:40
어반그로잉 동숭,서울 종로구 동숭동 192-6 1,제한없음,도시형생활주택,원룸(분리형),전용 499.59m²,공용 38.93m²,,,,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,서울 서대문구 연희로18길 36 애스트리23,제한없음,도시형생활주택,기타,전용 826.11m²,공용 50.25m²,,,,2025-08-28 09:05:40
비투코하우징홍은,"서울 서대문구 증가로4길 57 2,3,4,5층",제한없음,다세대주택,원룸(오픈형),전용 431.9m²,공용 371.9m²,,,,2025-08-28 09:05:40
써드플레이스 신림1,서울 관악구 신림동 87-6 써드플레이스 신림1,제한없음,도시형생활주택,원룸(오픈형),전용 228.73m²,공용 m²,,,,2025-08-28 09:05:40
써드플레이스 홍은6,서울 서대문구 홍은동 402-23 써드플레이스 홍은6,제한없음,도시형생활주택,원룸(오픈형),전용 394.57m²,공용 23.76m²,,,,2025-08-28 09:05:40
써드플레이스 홍은4,서울 서대문구 홍은동 396-15 써드플레이스 홍은4,제한없음,도시형생활주택,원룸(오픈형),전용 544.55m²,공용 m²,,,,2025-08-28 09:05:40
북클럭 플레이스(방배),서울 서초구 방배동 926-17 1층,제한없음,다세대주택,원룸(오픈형),전용 407.56m²,공용 m²,,,,2025-08-28 09:05:40
북클럭 플레이스(대치),,제한없음,다세대주택,원룸(오픈형),전용 512.25m²,공용 m²,,,,2025-08-28 09:05:40
안녕공동체주택,서울 도봉구 도봉로173길 122-11 안녕공동체주택,제한없음,다세대주택,기타,전용 461.91m²,공용 46.19m²,,,,2025-08-28 09:05:40
더클래식하우스,서울 서대문구 홍연2길 16 더클래식 하우스,제한없음,다세대주택,원룸(오픈형),전용 597.11m²,공용 113.6m²,,,,2025-08-28 09:05:40
INYOURS cheongdam (인유어즈 청담),,제한없음,도시형생활주택,원룸(분리형),전용 534.23m²,공용 97.59m²,,,,2025-08-28 09:05:40
봉산아래공동체주택,서울 은평구 갈현로3다길 1-7,제한없음,다세대주택,기타,전용 341.91m²,공용 31.26m²,,,,2025-08-28 09:05:40
사는자리 공동체주택,서울 금천구 시흥대로130길 13 사는자리,제한없음,다세대주택,기타,전용 480.16m²,공용 m²,,,,2025-08-28 09:05:40
써드플레이스 홍은5,서울특별시 서대문구 홍은동 403-16 써드플레이스 홍은5,제한없음,다세대주택,원룸(오픈형),전용 641.21m²,공용 24.58m²,,,,2025-08-28 09:05:40
써드플레이스 홍은7,서울특별시 서대문구 증가로8길76 (홍은동) 써드플레이스 홍은7,제한없음,도시형생활주택,원룸(오픈형),전용 344.14m²,공용 29.18m²,,,,2025-08-28 09:05:40
온음공동체주택,서울 마포구 성미산로5안길 15 온음공동체주택,제한없음,다세대주택,투룸,전용 641.28m²,공용 70.31m²,,,,2025-08-28 09:05:40
하담재,서울특별시 서대문구 가재울로2안길29-6 (남가좌동) 101,제한없음,다세대주택,기타,전용 565.64m²,공용 101.15m²,,,,2025-08-28 09:05:40
공동체주택 숨과쉼,서울특별시 서대문구 포방터길123 (홍은동) 전체,제한없음,다세대주택,기타,전용 620.72m²,공용 m²,,,,2025-08-28 09:05:40
광영청년공동체주택,,제한없음,도시형생활주택,원룸(오픈형),전용 494.14m²,공용 72.99m²,,,,2025-08-28 09:05:40
새맘뜰,"서울특별시 구로구 오리로21가길23-30 (궁동, 새맘뜰주택) 새맘뜰",제한없음,다세대주택,기타,전용 910.32m²,공용 77.91m²,,,,2025-08-28 09:05:40
셀렉티드 송파점,서울특별시 송파구 중대로16길 24 101호,제한없음,도시형생활주택,원룸(오픈형),전용 589.8m²,공용 m²,,,,2025-08-28 09:05:40
명륜3가 청년창업공동체주택,서울특별시 종로구 성균관로7길15 (명륜3가) 1F,제한없음,단독주택,원룸(오픈형),전용 163.47m²,공용 17.88m²,,,,2025-08-28 09:05:40
맑은구름집,서울특별시 종로구 자하문로30길19-9 (청운동) 맑은구름집,제한없음,다세대주택,기타,전용 736.97m²,공용 78.44m²,,,,2025-08-28 09:05:40
어반스테이 상수[인증 통과],서울특별시 마포구 와우산로 상수동 321-6,제한없음,도시형생활주택,원룸(분리형),전용 617.24m²,공용 168.57m²,,,,2025-08-28 09:05:40
면목동 공동체주택마을 [도서당],서울특별시 중랑구 동일로631-3 (면목동) 앞 면목동 176-129번지,제한없음,다세대주택,기타,전용 0m²,공용 0m²,,,,2025-08-28 09:05:40
코이노니아 스테이,,제한없음,도시형생활주택,원룸(분리형),전용 1629.66m²,공용 587.78m²,,,,2025-08-28 09:05:40
산에 협동조합 [예비인증통과],"서울특별시 마포구 성미산로5안길13 (성산동, 성미산 공동주택) 5안길 12",제한없음,,,전용 386.07m²,공용 113.6m²,,,,2025-08-28 09:05:40
묘나공주 연남,서울특별시 마포구 성미산로18길8 (연남동) 묘나공주,제한없음,다세대주택,원룸(오픈형),전용 448.65m²,공용 171.33m²,,,,2025-08-28 09:05:40
써드플레이스 홍은2,서울특별시 서대문구 증가로6길34-27 (홍은동) 써드플레이스 홍은2,제한없음,도시형생활주택,원룸(오픈형),전용 352.13m²,공용 151.8m²,,,,2025-08-28 09:05:40
삶을 잇는 공간 309,,제한없음,도시형생활주택,기타,전용 460.29m²,공용 27m²,,,,2025-08-28 09:05:40
신내 여성안심주택 [달리],서울 중랑구 신내동 243-14 여성안심공동체주택 달리,여성전용,도시형생활주택,원룸(분리형),전용 769m²,공용 127m²,,,,2025-08-28 09:05:40
신내소행주 - 공동육아형 공동체주택 [너나들이],서울 중랑구 신내역로1길 145 너나들이,제한없음,연립주택,쓰리룸,전용 1184.16m²,공용 626.05m²,,,,2025-08-28 09:05:40
